2020-03-29 14:10:13.748[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [UserDaoTest], using SpringBootContextLoader
2020-03-29 14:10:13.762[main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [UserDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-03-29 14:10:13.763[main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [UserDaoTest]: UserDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-03-29 14:10:14.003[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.machun.springbootmybatisxml.SpringbootMybatisxmlApplication for test class UserDaoTest
2020-03-29 14:10:14.205[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-03-29 14:10:14.260[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2d6764b2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@67304a40, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49c6c24f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6fe1b4fb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@79351f41, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1c32386d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6399551e, org.springframework.test.context.event.EventPublishingTestExecutionListener@13d73fa, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5023bb8b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5d5f10b2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@74c79fa2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e0f9063, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@53bd8fca]
2020-03-29 14:10:14.937[main] INFO  c.m.springbootmybatisxml.mapper.master.UserDaoTest - Starting UserDaoTest on MACHUN1-F1HJR2W with PID 109884 (started by machun1 in D:\学习\Git\SpringBoot\springboot-mybatisxml)
2020-03-29 14:10:14.941[main] INFO  c.m.springbootmybatisxml.mapper.master.UserDaoTest - No active profile set, falling back to default profiles: default
2020-03-29 14:10:15.914[main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userDao' and 'UserDao' mapperInterface. Bean already defined with the same name!
2020-03-29 14:10:15.915[main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userDaoSalve' and 'com.machun.springbootmybatisxml.mapper.salve.UserDaoSalve' mapperInterface. Bean already defined with the same name!
2020-03-29 14:10:15.915[main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.machun.springbootmybatisxml.mapper]' package. Please check your configuration.
